timestamp,location-long,location-lat,manually-marked-outlier,individual-taxon-canonical-name,utm-easting,utm-northing
10/29/2007,24.0493929,-19.7352867,,Equus burchellii,190732.1585,7815120.751
10/29/2007,23.6280248,-19.416255,,Equus burchellii,775980.1788,7851008.733
10/29/2007,23.7264813,-19.4650007,,Equus burchellii,786239.9617,7845449.264
10/29/2007,23.7155884,-19.4568153,,Equus burchellii,785110.0228,7846373.926
10/29/2007,23.6391527,-19.4274588,,Equus burchellii,777130.3966,7849750.09
10/29/2007,24.049636,-19.7353738,,Equus burchellii,190757.8245,7815111.547
10/29/2007,24.0491201,-19.7356347,,Equus burchellii,190704.2164,7815081.705
10/29/2007,23.707059,-19.4551403,,Equus burchellii,784216.9184,7846573.567
10/29/2007,23.6460082,-19.4301162,,Equus burchellii,777846.1512,7849444.737
10/29/2007,23.7014506,-19.4528949,,Equus burchellii,783631.6523,7846831.513
10/29/2007,23.6512483,-19.4306608,,Equus burchellii,778395.7706,7849375.953
10/29/2007,24.049104,-19.7365622,,Equus burchellii,190704.3161,7814978.936
10/29/2007,23.6576128,-19.4348405,,Equus burchellii,779057.3053,7848902.753
10/29/2007,24.0489965,-19.7365505,,Equus burchellii,190693.0183,7814980.035
10/29/2007,23.6792151,-19.4511337,,Equus burchellii,781298.7953,7847063.117
10/29/2007,23.6581489,-19.4340559,,Equus burchellii,779114.9713,7848988.775
10/29/2007,24.0539876,-19.7373645,,Equus burchellii,191218.0821,7814898.974
10/29/2007,23.6581015,-19.4471149,,Equus burchellii,779087.644,7847542.613
10/29/2007,23.6582187,-19.4339696,,Equus burchellii,779122.4524,7848998.219
10/29/2007,24.0550022,-19.7365436,,Equus burchellii,191322.9189,7814991.754
10/29/2007,23.6429187,-19.439695,,Equus burchellii,777505.2619,7848388.917
10/29/2007,24.0577237,-19.736354,,Equus burchellii,191608.0008,7815017.713
10/29/2007,23.6138362,-19.4327821,,Equus burchellii,774461.5721,7849201.155
10/29/2007,23.6587907,-19.4345302,,Equus burchellii,779181.5889,7848935.206
10/29/2007,23.5977469,-19.4239866,,Equus burchellii,772785.9308,7850200.783
10/29/2007,23.6627813,-19.4371128,,Equus burchellii,779596.4249,7848642.708
10/29/2007,24.0590566,-19.736819,,Equus burchellii,191748.6966,7814968.631
10/29/2007,23.6624937,-19.4357305,,Equus burchellii,779568.5783,7848796.261
10/29/2007,23.5769894,-19.4198454,,Equus burchellii,770611.9193,7850692.156
10/29/2007,24.0590963,-19.736827,,Equus burchellii,191752.8759,7814967.817
10/29/2007,23.5771928,-19.4197591,,Equus burchellii,770633.4329,7850701.393
10/29/2007,24.0592862,-19.7369453,,Equus burchellii,191773.0209,7814955.059
10/29/2007,23.6620007,-19.4348143,,Equus burchellii,779518.3526,7848898.529
10/29/2007,23.5771192,-19.4197319,,Equus burchellii,770625.745,7850704.521
10/29/2007,24.0594124,-19.7389886,,Equus burchellii,191790.184,7814728.952
10/29/2007,23.6715533,-19.4435775,,Equus burchellii,780506.9031,7847912.472
10/29/2007,24.0580463,-19.7381619,,Equus burchellii,191645.3126,7814818.039
10/29/2007,23.6893903,-19.4486308,,Equus burchellii,782372.0694,7847323.621
10/29/2007,23.5772085,-19.4197419,,Equus burchellii,770635.1109,7850703.273
10/29/2007,24.0583841,-19.73811,,Equus burchellii,191680.6429,7814824.403
10/29/2007,23.6976236,-19.4498371,,Equus burchellii,783234.9273,7847176.475
10/29/2007,23.5703397,-19.4149543,,Equus burchellii,769921.344,7851244.239
10/29/2007,23.7266303,-19.4571309,,Equus burchellii,786269.4434,7846320.608
10/29/2007,23.565076,-19.4099949,,Equus burchellii,769376.47,7851801.686
10/29/2007,24.0584497,-19.7375997,,Equus burchellii,191686.5423,7814881.048
